min,mean,max,learning_rate,inertia,ff,opt,sp
[ 2.91740022],[ 5.5146131],[ 5.5146131],,,Plateau3D,HillClimber,[ 1.9        -0.21111111]
[ 3.78096811],[ 5.33978402],[ 5.52237955],,,Plateau3D,HillClimber,[ 1.9         0.21111111]
[ 4.22117826],[ 8.0061274],[ 8.77518875],,,Plateau3D,HillClimber,[ 1.9         0.63333333]
[ 3.31541608],[ 7.415029],[ 8.74883669],,,Plateau3D,HillClimber,[ 1.9         1.05555556]
[ 1.12254923],[ 6.59299403],[ 8.75180609],,,Plateau3D,HillClimber,[ 1.9         1.47777778]
[-0.19031391],[ 7.85516039],[ 12.23959975],,,Plateau3D,HillClimber,[ 1.9  1.9]
[ 0.06190907],[ 0.06190907],[ 0.06190907],0.0,0.0,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06190907],[ 0.06190907],0.0,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06190907],[ 0.06190907],0.0,0.007113117640155691,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06190907],[ 0.06190907],0.0,0.012649110640673518,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06190907],[ 0.06190907],0.0,0.022493653007613964,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06190907],[ 0.06190907],0.0,0.040000000000000001,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06190907],[ 0.06190907],0.0,0.071131176401556917,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06190907],[ 0.06190907],0.0,0.12649110640673517,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06190907],[ 0.06190907],0.0,0.22493653007613965,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06190907],[ 0.06190907],0.0,0.40000000000000002,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06456954],[ 0.06726892],0.0040000000000000001,0.0,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06455878],[ 0.06724619],0.0040000000000000001,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06455046],[ 0.06722864],0.0040000000000000001,0.007113117640155691,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.0645358],[ 0.06719772],0.0040000000000000001,0.012649110640673518,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06451013],[ 0.0671436],0.0040000000000000001,0.022493653007613964,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06446569],[ 0.06705004],0.0040000000000000001,0.040000000000000001,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06439031],[ 0.06689167],0.0040000000000000001,0.071131176401556917,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06426668],[ 0.06663285],0.0040000000000000001,0.12649110640673517,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06407474],[ 0.06623334],0.0040000000000000001,0.22493653007613965,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06380073],[ 0.06566787],0.0040000000000000001,0.40000000000000002,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06686684],[ 0.07214622],0.007113117640155691,0.0,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06684581],[ 0.07209967],0.007113117640155691,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06682956],[ 0.07206372],0.007113117640155691,0.007113117640155691,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06680094],[ 0.07200043],0.007113117640155691,0.012649110640673518,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06675086],[ 0.0718898],0.007113117640155691,0.022493653007613964,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06666428],[ 0.07169892],0.007113117640155691,0.040000000000000001,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06651772],[ 0.0713769],0.007113117640155691,0.071131176401556917,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06627825],[ 0.07085359],0.007113117640155691,0.12649110640673517,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06590862],[ 0.0700529],0.007113117640155691,0.22493653007613965,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06538544],[ 0.06893415],0.007113117640155691,0.40000000000000002,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.07157009],[ 0.08289989],0.012649110640673518,0.0,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.07152503],[ 0.08278998],0.012649110640673518,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.07149026],[ 0.08270524],0.012649110640673518,0.007113117640155691,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.07142903],[ 0.08255622],0.012649110640673518,0.012649110640673518,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.07132207],[ 0.08229641],0.012649110640673518,0.022493653007613964,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.0711377],[ 0.08185014],0.012649110640673518,0.040000000000000001,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.07082713],[ 0.08110289],0.012649110640673518,0.071131176401556917,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.07032367],[ 0.07990344],0.012649110640673518,0.12649110640673517,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.0695562],[ 0.07810307],0.012649110640673518,0.22493653007613965,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.06848922],[ 0.0756559],0.012649110640673518,0.40000000000000002,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.08287663],[ 0.11354266],0.022493653007613964,0.0,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.08275491],[ 0.11316805],0.022493653007613964,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.08266116],[ 0.11288024],0.022493653007613964,0.007113117640155691,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.08249658],[ 0.11237635],0.022493653007613964,0.012649110640673518,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.0822104],[ 0.11150451],0.022493653007613964,0.022493653007613964,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.08172108],[ 0.11002641],0.022493653007613964,0.040000000000000001,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.08090789],[ 0.1076048],0.022493653007613964,0.071131176401556917,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.07961808],[ 0.1038515],0.022493653007613964,0.12649110640673517,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.07771555],[ 0.09850646],0.022493653007613964,0.22493653007613965,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.07518785],[ 0.09174514],0.022493653007613964,0.40000000000000002,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.13605167],[ 0.4130009],0.040000000000000001,0.0,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.13492149],[ 0.40286234],0.040000000000000001,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.13407098],[ 0.39535795],0.040000000000000001,0.007113117640155691,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.13261748],[ 0.38278138],0.040000000000000001,0.012649110640673518,Plateau3D,SteepestDescent,[-1.9 -1.9]
